tweet 1:Time:Tue Dec 15 13:41:57 +0000 2020 ,tweet text:WHEN THEY SAY PEACE AND..\nJoe Biden Wants to Return Americans to the Obama Glory Days - NewsBlaze News https:\/\/t.co\/TkilKuev02
tweet 2:Time:Tue Dec 15 13:42:27 +0000 2020 ,tweet text:RT elespanolcom: S\u00e1nchez acepta el pacto de Estado sobre inmigraci\u00f3n de Casado pero con una nueva Ley de Extranjer\u00eda por ADPrietoPYC \nht\u2026
tweet 3:Time:Tue Dec 15 13:42:44 +0000 2020 ,tweet text:Iba a decir 'para que luego digan que los catalanes son taca\u00f1os' pero eran de chocolate.\n\nAnother day in the democ\u2026 https:\/\/t.co\/m3gGTYNhHt
tweet 4:Time:Tue Dec 15 13:43:13 +0000 2020 ,tweet text:\u0427\u0442\u043e \u043f\u0440\u043e\u0438\u0437\u043e\u0439\u0434\u0435\u0442 \u0432 \u0411\u0435\u043b\u0430\u0440\u0443\u0441\u0438 \u043f\u043e\u0441\u043b\u0435 \u0432\u0441\u0442\u0443\u043f\u043b\u0435\u043d\u0438\u044f \u0432 \u0415\u0421  \u041f\u043e\u043b\u0438\u0442\u0438\u043a\u0430 https:\/\/t.co\/xi6rS7SnW6
tweet 5:Time:Tue Dec 15 13:43:25 +0000 2020 ,tweet text:RT YouGov: Confidence in the Welsh government\u2019s handling of coronavirus has fallen 21pts in a month\n\nHandling it well: 45% (-21 since 16 N\u2026
tweet 6:Time:Tue Dec 15 13:43:26 +0000 2020 ,tweet text:RT YouGov: Confidence in the Welsh government\u2019s handling of coronavirus has fallen 21pts in a month\n\nHandling it well: 45% (-21 since 16 N\u2026
tweet 7:Time:Tue Dec 15 13:43:26 +0000 2020 ,tweet text:See what George Conway thinks about Trump's refusal to concede\nhttps:\/\/t.co\/5bjPUpJmoB
tweet 8:Time:Tue Dec 15 13:43:31 +0000 2020 ,tweet text:RT elespanolcom: Lanzan monedas a los trabajadores de Cs en el Parlament al grito de \"\u00a1fuera de Catalu\u00f1a!\". Informa MarcosOndarra \nhttps:\u2026
tweet 9:Time:Tue Dec 15 13:43:40 +0000 2020 ,tweet text:RT YouGov: Confidence in the Welsh government\u2019s handling of coronavirus has fallen 21pts in a month\n\nHandling it well: 45% (-21 since 16 N\u2026
tweet 10:Time:Tue Dec 15 13:43:47 +0000 2020 ,tweet text:RT tommyinboots: when you see me say \"fat fatpol people\" or \"fatpol fats\" it's never a typo. i am talking about fat people who have a fat\u2026
tweet 11:Time:Tue Dec 15 13:44:09 +0000 2020 ,tweet text:Ye lootera hai iski baat pe yakin mat karna........Paise kamane ke liye politic me aaya Anna ka sahara leke....
tweet 12:Time:Tue Dec 15 13:44:12 +0000 2020 ,tweet text:RT OProprioToninho: O povo se organiza para ir \u00e0s ruas e tomar a Pra\u00e7a dos Tr\u00eas Poderes\nEuNaoVoteiNoSTF\nhttps:\/\/t.co\/0oEZZ0p5Bo
tweet 13:Time:Tue Dec 15 13:44:12 +0000 2020 ,tweet text:The huge opportunity in front of us - Scottish Local Government COSLA and PHSOfficial can create a Scotland wh\u2026 https:\/\/t.co\/NYZeiEn5mU
tweet 14:Time:Tue Dec 15 13:44:15 +0000 2020 ,tweet text:Just as one of Telugu cinema's premier families the DAGGUBATIs has embraced BREAKING INDIA themes we see ominous\u2026 https:\/\/t.co\/zkBrpVuyr5""displaytextrange":0140"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003eTwitter for Android\u003c\/a\u003e""truncated":true"inreplytostatusid":1338698251097300992"inreplytostatusidstr":"1338698251097300992""inreplytouserid":433660166"inreplytouseridstr":"433660166""inreplytoscreenname":"skommana1""user":"id":433660166"idstr":"433660166""name":"\u0938\u092c\u0915\u093e \u0935\u093f\u0915\u093e\u0938 \u0918\u0930 \u0935\u093e\u092a\u094d\u0938\u0940 \u0915\u0947 \u0938\u093e\u0925!!""screenname":"skommana1""location":null"url":null"description":"Telugu Kamma Hindu without Samskara.Trying to educate myself through Dharampal Rajeev Srinivasan Rajiv Malhotra Varsha Bhosle Sandeep Balakrishna et al""translatortype":"none""protected":false"verified":false"followerscount":788"friendscount":19"listedcount":32"favouritescount":3899"statusescount":85234"createdat":"Sat Dec 10 21:11:51 +0000 2011""utcoffset":null"timezone":null"geoenabled":true"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"C0DEED""profilebackgroundimageurl":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profilebackgroundimageurlhttps":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1256893153610735617\/YG-Ac9P3normal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1256893153610735617\/YG-Ac9P3normal.jpg""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"extendedtweet":"fulltext":"Just as one of Telugu cinema's premier families the DAGGUBATIs has embraced BREAKING INDIA themes we see ominous reports making news.\n\nOne has to remember the DAGGUBATI family connection to KARAMCHEDU1985 in this context.\n\nWhat's cooking? \ud83e\udd14\n\nhttps:\/\/t.co\/esG4ixZyrD https:\/\/t.co\/WNpO930ohh""displaytextrange":0270"entities":"hashtags":"urls":"url":"https:\/\/t.co\/esG4ixZyrD""expandedurl":"https:\/\/www.deccanchronicle.com\/nation\/politics\/141220\/fishermen-pelt-stones-at-mopidevis-convoy-at-vodarevu-area.html""displayurl":"deccanchronicle.com\/nation\/politic\u2026""indices":247270"usermentions":"symbols":"media":"id":1338842292514381824"idstr":"1338842292514381824""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-LeW4AAUcNK.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-LeW4AAUcNK.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""id":1338842296373170176"idstr":"1338842296373170176""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-Z2XUAAB7hx.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-Z2XUAAB7hx.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""id":1338842299925749761"idstr":"1338842299925749761""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-nFXYAEFLS5.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-nFXYAEFLS5.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""id":1338842304988246016"idstr":"1338842304988246016""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-58W8AA8oaI.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-58W8AA8oaI.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""extendedentities":"media":"id":1338842292514381824"idstr":"1338842292514381824""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-LeW4AAUcNK.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-LeW4AAUcNK.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""id":1338842296373170176"idstr":"1338842296373170176""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-Z2XUAAB7hx.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-Z2XUAAB7hx.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""id":1338842299925749761"idstr":"1338842299925749761""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-nFXYAEFLS5.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-nFXYAEFLS5.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""id":1338842304988246016"idstr":"1338842304988246016""indices":271294"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpSF-58W8AA8oaI.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpSF-58W8AA8oaI.jpg""url":"https:\/\/t.co\/WNpO930ohh""displayurl":"pic.twitter.com\/WNpO930ohh""expandedurl":"https:\/\/twitter.com\/skommana1\/status\/1338842307676811265\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":383"h":680"resize":"fit""medium":"w":675"h":1200"resize":"fit""large":"w":1080"h":1920"resize":"fit""quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"url":"https:\/\/t.co\/zkBrpVuyr5""expandedurl":"https:\/\/twitter.com\/i\/web\/status\/1338842307676811265""displayurl":"twitter.com\/i\/web\/status\/1\u2026""indices":117140"usermentions":"symbols":"favorited":false"retweeted":false"possiblysensitive":true"filterlevel":"low""lang":"en""timestampms":"1608039855294"
tweet 15:Time:Tue Dec 15 13:44:21 +0000 2020 ,tweet text:Just leaving this here... \n\nhttps:\/\/t.co\/vnrCR2SFGG\n\nThe FM still however has a long way to go to reach Johnson's l\u2026 https:\/\/t.co\/OGqzn4Lfk3
tweet 16:Time:Tue Dec 15 13:44:30 +0000 2020 ,tweet text:Happy to see Canada \ud83c\udde8\ud83c\udde6 support more tree planting initiatives \n\nHopefully more action than politics \n\nI look forwar\u2026 https:\/\/t.co\/uP3pWDvqQC
tweet 17:Time:Tue Dec 15 13:44:35 +0000 2020 ,tweet text:RT Daialectic: Non essential items was the watershed moment. A ban that drakeford made up on the spot https:\/\/t.co\/us9sJWl4X3
tweet 18:Time:Tue Dec 15 13:44:38 +0000 2020 ,tweet text:RT MsJaneOD: The huge opportunity in front of us - Scottish Local Government COSLA and PHSOfficial can create a Scotland where everyo\u2026
tweet 19:Time:Tue Dec 15 13:44:55 +0000 2020 ,tweet text:RT YouGov: Confidence in the Welsh government\u2019s handling of coronavirus has fallen 21pts in a month\n\nHandling it well: 45% (-21 since 16 N\u2026
tweet 20:Time:Tue Dec 15 13:44:57 +0000 2020 ,tweet text:Elector reveals why she cast vote from a secret location\nhttps:\/\/t.co\/tf8Tt5OCCN
tweet 21:Time:Tue Dec 15 13:44:57 +0000 2020 ,tweet text:MBStadium AtlantaFalcons StateFarmArena Hey football and politic fans check this ! redvsblue\n\nhttps:\/\/t.co\/39aE1tz9S9""displaytextrange":43121"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003eTwitter for Android\u003c\/a\u003e""truncated":false"inreplytostatusid":1337471230421688320"inreplytostatusidstr":"1337471230421688320""inreplytouserid":1465030333"inreplytouseridstr":"1465030333""inreplytoscreenname":"MBStadium""user":"id":1304100866136236032"idstr":"1304100866136236032""name":"The Sedated Monkey""screenname":"SedatedMonkey""location":"The Dream World Project""url":"https:\/\/thedreamworldproject.tumblr.com\/""description":"The Sedated \ud83d\udc12...\n\n\nCurrently architecting the greatest Madden21 content in the multiverse; DreamWorldCo""translatortype":"none""protected":false"verified":false"followerscount":32"friendscount":32"listedcount":1"favouritescount":271"statusescount":255"createdat":"Thu Sep 10 16:54:18 +0000 2020""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"F5F8FA""profilebackgroundimageurl":"""profilebackgroundimageurlhttps":"""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1308528498835730433\/SY7iv-lfnormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1308528498835730433\/SY7iv-lfnormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/1304100866136236032\/1606879935""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"quotedstatusid":1337504333991034881"quotedstatusidstr":"1337504333991034881""quotedstatus":"createdat":"Fri Dec 11 21:07:37 +0000 2020""id":1337504333991034881"idstr":"1337504333991034881"
tweet 22:Time:Tue Dec 15 13:45:00 +0000 2020 ,tweet text:\"We don't stop and we haven't and if we did ever stop then we wouldn't be the country that we are and the state w\u2026 https:\/\/t.co\/YM7CJfrNS0
tweet 23:Time:Tue Dec 15 13:45:02 +0000 2020 ,tweet text:RT JovenPensionist: Debate : Pol\u00edticas sociales. El Pacto de Toledo\n\ud83d\udd34 17 diciembre 2020 a las 19:30h\nPonentes\n\u2022Luis Nogu\u00e9s\n\u2022M\u00aa \u00c1ngeles Po\u2026
tweet 24:Time:Tue Dec 15 13:45:42 +0000 2020 ,tweet text:anyways today i was procrastinating in bored so i told the uni gc full of annoying men with law and politic degrees\u2026 https:\/\/t.co\/5I43itbmFm
